document,source_id,kind,section,line,title,fingerprint,curated_specs
PRD-MAIN,AC-DEPLOY-001,acceptance-block,19.5 安全、AI 降级和恢复,1261,集团间独立数据平面,fb46f635b59d966f95aabe2385c0d7a387a55a57c964cb2d3aaf371f57c0f8b8,AC-DEPLOY-001@0.1.0;AC-DEPLOY-001@1.0.0;ATC-PLT-000@0.1.0;ATC-PLT-000@1.0.0
PRD-MAIN,AC-DIS-001,acceptance-block,19.2 收样、拆解和谱系,1145,拆解可选,9d21005e5aca48a10614625cf3662da650336d827d38b2aaf61ba5f26928bf29,
PRD-MAIN,AC-ELEC-001,acceptance-block,19.2 收样、拆解和谱系,1190,EMC 扫描多源结果,cba441f0947436dbfa8d13a2ced716c39b90d74f3a9edc2ad5913d90d8bf1d18,
PRD-MAIN,AC-ELEC-002,acceptance-block,19.2 收样、拆解和谱系,1193,型号覆盖局部失效,1206ea2b0c9d24b70d85e22d6fbfd2baa9cb7d27c7422804a06cf4d2a1b17ca0,
PRD-MAIN,AC-ELEC-003,acceptance-block,19.2 收样、拆解和谱系,1196,破坏顺序与样品资格,0d95ce84dd323cc6a0fc8be5b90aa91a5f17c1d0e85c521f235baa0e752bc752,
PRD-MAIN,AC-ERP-001,acceptance-block,19.4 发票、应收和对账,1253,ERP 同步状态,3091bf63218aad3f1461c58d318c0f0f739223a9d2b31f1fe3b23aba6a4314a9,
PRD-MAIN,AC-ID-001,acceptance-block,19.2 收样、拆解和谱系,1142,身份错配,dd8a93c8071ea0853e2c8aba028dd66161921ff5e40dfe65482386108a74cc35,AC-ID-001@0.1.0;ATC-REC-004@0.1.0;ATC-REC-004@1.0.0
PRD-MAIN,AC-INV-001,acceptance-block,19.4 发票、应收和对账,1235,并发开票,1567a481a013a3ef65236f54ee94b5cb1ce71990e321c8246ff218f419f0da2a,
PRD-MAIN,AC-INV-002,acceptance-block,19.4 发票、应收和对账,1238,税票结果未知,64a67295924165ce9dc7e04edbd088c12f788601031f465e64d78275c284c487,
PRD-MAIN,AC-LIN-001,acceptance-block,19.2 收样、拆解和谱系,1148,多关系建模,edaa0c9cfb90e3b5ea21b563c197a8ccf09e5ef22a476a0d157b78be5ed0eba2,
PRD-MAIN,AC-LONGRUN-001,acceptance-block,19.2 收样、拆解和谱系,1199,长周期运行中断,37a4f4c91f8066f0486f02081dcf2b33e544ae95f1dcfd125ca62f38389d04d4,
PRD-MAIN,AC-PAY-001,acceptance-block,19.4 发票、应收和对账,1244,收款最终性,608904ee5fd74c97253c0abf399ac4ea50c2cadc3b0f2f3ae6f40624ef0c22d2,
PRD-MAIN,AC-PROD-001,acceptance-block,19.1 产品、AI 和报价,1122,对象区分,3c97f0e25d1f07effbce046584fc6453f88281b2af632413c8ab1332beb0b658,
PRD-MAIN,AC-QC-001,acceptance-block,19.3 检测、QC 和报告,1213,QC 阻断,3fb399d4e09306619dc091c62a8cf9332415c116ab435d125c5e6a86f71bb287,
PRD-MAIN,AC-QTY-001,acceptance-block,19.2 收样、拆解和谱系,1151,并发超分配,7181e6405ac3b428de292379613393cde5ccc667b848aae38b9c2e4681fd47c0,
PRD-MAIN,AC-QTY-002,acceptance-block,19.2 收样、拆解和谱系,1154,允许损耗,e0105ab2978b889b752a46a36235fa35847f99ee837ea38f68ab1b144b4c786f,
PRD-MAIN,AC-QUOTE-001,acceptance-block,19.1 产品、AI 和报价,1134,近似与正式报价分离,b6daa626666efa3681e0b60d38b5d3beed5391d09ede99f663e4eef1d4e4e531,
PRD-MAIN,AC-REC-001,acceptance-block,19.2 收样、拆解和谱系,1139,隔离控制,8f4060da7e31c38cd465032f764298fe9bed0ee06b450bbea3ccd03a71eb91da,AC-REC-001@0.1.0;ATC-REC-003@0.1.0;ATC-REC-003@1.0.0
PRD-MAIN,AC-RECOVERY-001,acceptance-block,19.5 安全、AI 降级和恢复,1270,灾难恢复一致性,c81315fef58c3cce33f0132953a72a842d30d140ba7891bbb3f2b31f2e850a75,
PRD-MAIN,AC-REQ-001,acceptance-block,19.0 要求、范围、覆盖和认可,1105,标准生命周期,9a2f1a74ecfcc58ab59dbb904063fcf8e60ed7193360425469af953b1eef2055,
PRD-MAIN,AC-RETEST-001,acceptance-block,19.3 检测、QC 和报告,1216,复测采用,8ef4c7c023eb8cf25f2cf837df0fba2b99bc4a79056ba322bd479ab14dc07a91,
PRD-MAIN,AC-RPT-001,acceptance-block,19.3 检测、QC 和报告,1222,签发关口,895c36ef837a7a548b3c15351bfbbe2a9b2845f6a0b6afd9a3c49e661b3459de,
PRD-MAIN,AC-RPT-002,acceptance-block,19.3 检测、QC 和报告,1225,更正版本,c53fe5580be1fb5b91e9fe5044bf77dc2c685aa2173eb78a3d8bdc1519194811,
PRD-MAIN,AC-SCOPE-001,acceptance-block,19.0 要求、范围、覆盖和认可,1108,范围行全链,884daaf2c6b97bd4789897da9c19c98543e3fa0f96197509c7389308a48d96a4,
PRD-MAIN,AC-SEC-001,acceptance-block,19.5 安全、AI 降级和恢复,1258,集团内多维越权防护,7f1ff95a65eb1d1fcc23e6d55d3f8acfb9c70c794c7bd7a1a0512b1ab1fee267,AC-SEC-001@0.1.0
PRD-MAIN,AC-SEC-002,acceptance-block,19.5 安全、AI 降级和恢复,1264,间接提示注入,ce6a60d3d1a43cae0b99bcb5b6b52341d79a7eeafd20253a510df048a7fa96c4,
PRD-MAIN,AC-STATE-001,acceptance-block,19.2 收样、拆解和谱系,1157,顺序性试验状态,8aff0645546f3fd33231331914f8c8f0d4424fde518b9ab9bee1614bb77b9dd3,
PRD-MAIN,AC-STMT-001,acceptance-block,19.4 发票、应收和对账,1250,客户对账单守恒,531d296b60b7a7f7b4b622cfe9efd12e9a7d2b8fc6cfdc969f3b89e02f46db7e,
PRD-MAIN,AC-TEXTILE-001,acceptance-block,19.2 收样、拆解和谱系,1163,样品不足与互斥裁样,654411d2f0f2787d8d9cfdb0cca8c060aaff5ad95c3b47e1a195cfd92964e218,
PRD-MAIN,AC-TEXTILE-002,acceptance-block,19.2 收样、拆解和谱系,1166,代表色依据失效,cd43787873dfb56b9bcc94146ec2b9f2047af8ac145d4456e603ce0d237d41cf,
PRD-MAIN,AC-TEXTILE-003,acceptance-block,19.2 收样、拆解和谱系,1169,裁样方向与预处理超差,c8fc9e69b9a72cca5dab0618d8a948ba225939bcb5bca11dc820a5a02218cf4a,
PRD-MAIN,AC-TEXTILE-004,acceptance-block,19.2 收样、拆解和谱系,1172,实测与覆盖范围披露,946abf2cf21c01b2ebd03b2a0dc6618a63b75d8d794bb205b3fc0d8a4d9aeaeb,
PRD-MAIN,AC-TOY-001,acceptance-block,19.2 收样、拆解和谱系,1178,年龄决定变更影响,326f2b335e41614fa2e027b281812ac1dc0a7329f50ea3baacb3e948d9e35c2f,
PRD-MAIN,AC-TOY-002,acceptance-block,19.2 收样、拆解和谱系,1181,可接触性与测试单元,0b2f59ece33db722429c13f5289952bbc1bb2a551bcb96c52344d9d1efe89c44,
PRD-MAIN,AC-TRACE-001,acceptance-block,19.3 检测、QC 和报告,1210,全链追溯,038a16685546a484445437c4a3c6ce3ca5b4d9f8e3bf085169938d3450b9b4a2,
PRD-MAIN,AI-BOM-001,table-row,12.3 可选 AI 近似报价 BOM,724,系统必须把 AI 近似报价 BOM 标识为近似、非约束、未验证且仅用于报价支持,1a02ec48f5afea9417286205f5f8c26f8ea5f6078cd4fb0f5dc39d82a27a9f78,
PRD-MAIN,AI-BOM-002,table-row,12.3 可选 AI 近似报价 BOM,725,系统必须将每项内容分类为观察、假设或验证事实,682aad03e63521804f5cbdb68bbd79e910eb53657c34d52850975dda03523787,
PRD-MAIN,AI-BOM-003,table-row,12.3 可选 AI 近似报价 BOM,726,系统必须为图片观察保存原图哈希、页帧号和归一化证据区域坐标,66c8e129bc8f82e4193624de0ce2775cc20335e0391dd17596acaca5bd567b25,
PRD-MAIN,AI-BOM-004,table-row,12.3 可选 AI 近似报价 BOM,727,系统必须为不确定输入生成候选分支、范围或弃权，不得隐藏为单一确定答案,bcfde77caaecd463627a0938fb63a87e9ae67025f51136fd8b66f0c8c85b91ce,
PRD-MAIN,AI-BOM-005,table-row,12.3 可选 AI 近似报价 BOM,728,系统必须分别记录可见数量、推断数量和未知数量,57bf497010dd09bf3cabbf972fbe4af91bafea8d39d31513833f13dda643d5a3,
PRD-MAIN,AI-BOM-006,table-row,12.3 可选 AI 近似报价 BOM,729,系统必须阻止 AI 推断形成正式测试任务、采购动作、结果或财务交易,29f204073257d4522af3d5cf7006fb6882b1c329bf9627c739ae2da7a2651e8c,
PRD-MAIN,AI-BOM-007,table-row,12.3 可选 AI 近似报价 BOM,730,系统必须保存模型、网关路由、提示模板、输出模式、输入版本和人工处置记录,670dbe4169d0c68822406d4990a02463e9b6a1f619ddb1ca5416bbb11f499f65,
PRD-MAIN,AI-BOM-008,table-row,12.3 可选 AI 近似报价 BOM,731,系统必须在输出模式验证或必需来源缺失时失败关闭,e4c946bfc67ab4d2be58ce452345cff669ac5313defd1c3ec5905b8f278246b1,
PRD-MAIN,AI-BOM-009,table-row,12.3 可选 AI 近似报价 BOM,732,系统必须支持评估员接受、修改、拆分、合并和拒绝候选项,61ea3234b3d4e84cfdd49c2150c4f0b70655f1c2f5dbf9caa0fa9c5276101da0,
PRD-MAIN,AI-BOM-010,table-row,12.3 可选 AI 近似报价 BOM,733,系统必须在人工修改后保留 AI 原值、人工值、原因和责任人,718abd4a301be8e21b768ba9f109c400827cfd3f9de07cfc831484c22ad4103b,
PRD-MAIN,AI-BOM-011,table-row,12.3 可选 AI 近似报价 BOM,734,系统应当展示 AI 近似报价 BOM 与观察结构的差异，但不得覆盖任一历史版本,744e80990a7d7a41cc26e36d25e67756f8a0e86add8e598ed3726dcb9398c2ad,
PRD-MAIN,AI-BOM-012,table-row,12.3 可选 AI 近似报价 BOM,735,系统不得将 AI 近似报价 BOM 用于发布、采购、检测执行或受控记录修改,561e271054f4b29125399532d95828a70b5ee0a17850dc0d958d7c3a4d3b2b85,
PRD-MAIN,AI-BOM-013,table-row,12.3 可选 AI 近似报价 BOM,736,系统必须阻止 AI 近似报价 BOM 自动形成 RequirementSet、TestScopeMatrix、CoverageDecision、限值、判定或认可声明,1b4b368bbecdda754258f8de7e060df32e13056d165f482ad432929d5384d36f,
PRD-MAIN,AI-BOM-014,table-row,12.3 可选 AI 近似报价 BOM,737,系统必须在启动前校验获批品类、客户/数据许可、可用人工复核人和业务停止条件；任一条件不满足时不得运行,f4c023612b5b703e8c237fff833c8dee4373825872c6a47cad647721d0844a1a,
PRD-MAIN,BP-001,table-row,5. 业务原则,155,客户声明、AI 推断、实验室观察、权威来源验证和人员批准必须分别保存,c98d7d54ecb7e049d78c2537a1ab9719c3f2cc2674f5a618edc032ff0b5ae583,
PRD-MAIN,BP-002,table-row,5. 业务原则,156,产品语义结构与物理样品谱系必须分离,aac707b16ac4e77a6844b79a582a5fccc28afa6730e5156bb2860facb7d62333,
PRD-MAIN,BP-003,table-row,5. 业务原则,157,报告展示聚合不得改变底层结果归属,d75824249f8660e8b0cd61942360fc17b3f06bad20dc7279471796b1ec18c712,
PRD-MAIN,BP-004,table-row,5. 业务原则,158,已发生的接收、拆解、检测、数量和财务交易不得物理删除,93a9cb1e86fe6b258da5efa22ab036b636b672403b8588a26c060d082f64e73d,
PRD-MAIN,BP-005,table-row,5. 业务原则,159,更正必须通过新版本、调整、冲销或反向交易完成,e6e1934a2994795c0e69cd88ad4f531c98f76759364dc860cf350a0adbe8f75f,
PRD-MAIN,BP-006,table-row,5. 业务原则,160,AI 输出始终是候选；人工接受不自动改变其事实类别,d4d3b70f3228c2194f48fb896120a8c6f9d0f6e16d90864562c943d2ed905673,
PRD-MAIN,BP-007,table-row,5. 业务原则,161,拆解是按检测方案触发的可选操作，不是所有产品的必经步骤,ef8eb871c0c50c5119a7d34a260ddd4a4e5e31963054a985d20ea761cf7cec20,
PRD-MAIN,BP-008,table-row,5. 业务原则,162,数量余额必须由不可变流水推导；超出配置公差才阻断,210ebbab6fbaec157ac772c945086f922f03d5f7fb10a87491d96b2a5af61310,
PRD-MAIN,BP-009,table-row,5. 业务原则,163,任何可报告结果必须存在唯一且有效的采用链路,327ce55d5cd6d6c58dd028c1082905ff2d5c58ef58e2c2205e3fe06975ce29b8,
PRD-MAIN,BP-010,table-row,5. 业务原则,164,运营财务是业务子账，不是总账；会计凭证和法定总账由 ERP 管理,1d8b9a49e9d9191b95ce781a6365c298a16dd0a06612165e7a4a5dbcf5097ebb,
PRD-MAIN,BP-011,table-row,5. 业务原则,165,关键外部接口必须幂等、可回查、可重试和可对账,def5e6a0cd22a425c70742e8010a50843ac10d855a820235561739cae1577d39,
PRD-MAIN,BP-012,table-row,5. 业务原则,166,汇总状态由子对象状态确定性计算，不得由用户直接改写,075a598290c056b54b65a1dbd6089c4f10981c29f13de6374d24d15e21b099d6,
PRD-MAIN,BP-013,table-row,5. 业务原则,167,检测范围必须从受控要求、送检对象特征、方法、样品需求、代表性、判定和报告位置共同形成，不得仅由项目名称或客户勾选直接生成任务,1d312bd62f1333a8dcdb7cf3a4f5612975d4137448c17c648168cda538f27632,
PRD-MAIN,BP-014,table-row,5. 业务原则,168,客户 BOM、图片、AI 推断或历史套餐均不得自动决定法规/标准适用性、认可范围、限值或符合性结论,701c772336cc0d5fa20c42d8476f927d9434c2e569027152769eeaa1d2b16c53,
PRD-MAIN,BP-015,table-row,5. 业务原则,169,标准发布日期、实施日期、废止/替代、过渡期、客户指定版和委托冻结版必须分别管理；新版本不得静默改变进行中委托,13849fd9aa5fa2f39bada2f6f611012d021c7eb227a30a84357646b177c041bc,
PRD-MAIN,BP-016,table-row,5. 业务原则,170,代表性覆盖必须记录被测对象、被覆盖对象、危险域/项目范围、依据、批准人、排除项和失效条件,7124328af516982ad22b018158cc3c736383122e2ac49ab20aabb9e176497a32,
PRD-MAIN,BP-017,table-row,5. 业务原则,171,原始/计算结果、符合性判定和已测试范围结论必须分层；外部或另行授权的全面法规评估/认证状态只可作为独立受控引用，不得由检测报告自动推导，检测报告不得等同于认证证书或全面合规声明,62377e2147866beb0d9b6bc65143968b9640e58bccb1c9e58c8f794860b4393c,
PRD-MAIN,BP-018,table-row,5. 业务原则,172,样品追踪粒度、计量维度和守恒精度按方法风险配置；不得对非破坏性或不可合理计量场景制造伪精确数量,c81bae0b8328000c5bb801b7f02c53cbb2dbb53412c30d88f9f67297ca565e1a,
PRD-MAIN,BP-019,table-row,5. 业务原则,173,行业包和技术包不得另建平行的委托、结果、报告、权限或审计状态机，也不得绕过平台关口,b73f6b1ad86b8f08ad15e6cee5f72260d2e2de466f0926d8f4289b81bcb23a76,
PRD-MAIN,BP-020,table-row,5. 业务原则,174,认可标识和授权必须按报告行涉及的实验室、方法版本、产品/基质、参数/量程、有效期和签字人校验，不得使用机构级布尔值替代,9d918742a05a751fc1c708f02599c75c6409a3d09864617cb4c7aab235852fff,
PRD-MAIN,BUS-CAP-001,table-row,12.1 范围、产品与结构,692,系统必须在正式报价前记录实验室能力、认可范围、方法、人员/设备、分包、样品量、交期和保密评审结果,50ec533080267a33bc75342ec02df8ee74d225093bc7bf2f9f9f2a04b327f169,
PRD-MAIN,BUS-COV-001,table-row,12.1 范围、产品与结构,696,系统必须将代表样、被覆盖对象、适用危险域/项目、理由、批准、排除项和失效条件作为版本化 CoverageDecision 管理,5ad2b268652e60b475315e4e20a98a9ef957f0bb9a73819dfad1b71a3fd04b3d,
PRD-MAIN,BUS-COV-002,table-row,12.1 范围、产品与结构,697,覆盖输入、产品/材料/配置版本或适用规则变化时，系统必须使受影响覆盖决定进入待重新评估状态,a9c769aef02faccbca356c0f8abfdff27b575c5d28c70b9091ca9bbe7e6a600f,
PRD-MAIN,BUS-DOMAIN-001,table-row,12.1 范围、产品与结构,684,系统必须按部署集团获批业务域、行业包和实验室能力配置允许的委托类型；排除域默认禁用，但不得把产品路线图排除项硬编码为不可扩展的永久禁令,65b56e0f875b31e0ff086b91af8d144bac7ef264fe47757b2f432e264c0edb19,
PRD-MAIN,BUS-DOMAIN-002,table-row,12.1 范围、产品与结构,685,同一送检项/收到的实物必须允许同时启用多个行业包和技术包，共享同一物理身份、谱系、数量及保管链；各包拥有独立范围行和结论，不得复制样品或相互覆盖,ccf179f8412f680394d814196a62246223de45ccb9cfc7ff960c98eef9bf43fb,
PRD-MAIN,BUS-METHOD-001,table-row,12.1 范围、产品与结构,691,系统必须将要求、检测套餐、方法及选项、限值、计算、判定规则和样品需求作为独立版本对象管理,d46cd44fa91e8b25b3d7da27ecbee90c549a58c4ad5b591344dd309f25b41e32,
PRD-MAIN,BUS-PARTY-001,table-row,12.1 范围、产品与结构,686,系统必须分别管理申请方、付款方、品牌/项目所有者、制造商、工厂、样品提供者、报告抬头和报告接收方等参与方角色及有效期,4193a9edde11ea0b2b67a68c52bac30b8b6276998764038ac85f53406c5ad964,
PRD-MAIN,BUS-PROD-001,table-row,12.1 范围、产品与结构,698,系统必须分别保存客户原始描述和实验室受控的送检项/产品变体快照,9b6af425930ba1358b2f4f8be0e78e53d6213074ddb077735feffe9f7921253a,
PRD-MAIN,BUS-PROD-002,table-row,12.1 范围、产品与结构,699,系统必须对送检项、产品变体、特征节点、检测范围矩阵及启用的逻辑产品 BOM/检测分解执行版本控制,d73455211b2ef220f8f75cfb6edfc8bca9017455f7678df7f71b22e138bb6109,
PRD-MAIN,BUS-PROD-003,table-row,12.1 范围、产品与结构,700,系统必须对已被委托、范围、任务或报告引用的送检项/产品变体版本禁止原地修改,a041a9f9409bb4a35cb261e1c71a08027dae6e3aa7a164686062a2840eacaf69,BUS-PROD-003@0.1.0
PRD-MAIN,BUS-PROD-004,table-row,12.1 范围、产品与结构,701,系统必须将产品/材料/部位/配置等语义特征节点与物理样品对象分开存储,64e6e9a6cf39ad7f937b4c1761170719671c1c0b1c24325edea1d5b83fa68e1a,
PRD-MAIN,BUS-PROD-005,table-row,12.1 范围、产品与结构,702,在适用行业启用时，系统必须记录客户 BOM、AI 近似报价 BOM、检测分解、观察结构和范围行之间的版本化映射,5a3106ce0f0fb48c0bf27eb46758ce44c583d7a6737bd36841037cc266c6b9fa,
PRD-MAIN,BUS-PROD-006,table-row,12.1 范围、产品与结构,703,系统应当支持型号继承、差异节点和项目特定的等效关系,8fad6c21ca0a14286d2f06dcecf115bcb617dc36db929629857f49ac1507f87c,
PRD-MAIN,BUS-PROD-007,table-row,12.1 范围、产品与结构,704,在启用层级产品结构时，系统必须限制单产品版本的最大层级和节点数，并由批准容量基线配置,7a2dfa2f7ab11a9b06e6d2515bbdb95c8dc1dd6aca471b9e9301f7331cb6ecd7,
PRD-MAIN,BUS-QUOTE-001,table-row,12.2 询价、报价和变更,710,系统必须为每个询价生成不可复用的业务编号,4ec566d943a67acfaa03639d5591263f5a51f40133e976ba4c7226047a051b33,
PRD-MAIN,BUS-QUOTE-002,table-row,12.2 询价、报价和变更,711,系统必须在进入评估前校验客户、产品类别、数量、检测目的、期望周期和最低资料集,bb3218fe2a8b4ff99c5e6860c0618659f18a329d4d3ad6317582b91856a789dd,
PRD-MAIN,BUS-QUOTE-003,table-row,12.2 询价、报价和变更,712,系统必须将近似预算与正式报价作为不同对象和状态管理,a1777fcc02ad7d085e1ab337eafea90b3d89a52083339a7657fa7fe903a6935c,
PRD-MAIN,BUS-QUOTE-004,table-row,12.2 询价、报价和变更,713,系统必须在近似预算中显示价格区间、假设、排除项、版本和非约束声明,1dd2b5ea925d69ec0e80eff7419adce2ab2ac1eb4fb31fcaec506016a8984471,
PRD-MAIN,BUS-QUOTE-005,table-row,12.2 询价、报价和变更,714,系统必须冻结已批准正式报价版本,aaf7bfac32e5b7c1d92333b74e0c2ea3e8e8032db8c9aa38feae6f930f2284f4,
PRD-MAIN,BUS-QUOTE-006,table-row,12.2 询价、报价和变更,715,系统必须通过变更单处理已接受报价后的范围、数量、方法、价格或周期变化,44d5fd376a0de97299f64dd19d8b18e6f8cc16173de4a236b9384040e73c9196,
PRD-MAIN,BUS-QUOTE-007,table-row,12.2 询价、报价和变更,716,系统必须对变更生成价格、周期、样品需求、在制工作和报告影响清单,1cfd8150eefbed41dad1390781adb825c0f2505c5112a285c4daae0006e84c4c,
PRD-MAIN,BUS-REQ-001,table-row,12.1 范围、产品与结构,687,系统必须分别管理要求来源、出版文档版本/修订/勘误、文档关系、采用/适用规则、条款、内容所有者和批准状态,b372e02f1038ee0c3864b19ac35632ceee3d3c259a6c25c8bce1517d3e10a136,
PRD-MAIN,BUS-REQ-002,table-row,12.1 范围、产品与结构,688,系统必须阻止没有受控适用依据的文档版本自动用于新范围；受控依据可来自法规/认证过渡、客户/OEM 指定、研究/比对目的或其他批准规则,9839145ae7e2a057815ef7ee5138829699f9b5023c44179c41e692c36c9c3476,
PRD-MAIN,BUS-REQ-003,table-row,12.1 范围、产品与结构,689,系统必须使要求或客户协议更新生成受影响套餐、范围、进行中任务和报告模板清单，不得静默改写已冻结委托,b25305f7c4995ae01cdf259084e2fea5f3e8309c6c172c4a9090de21fd64119a,BUS-REQ-003@0.1.0
PRD-MAIN,BUS-REQ-004,table-row,12.1 范围、产品与结构,690,系统必须将出版文档版本、文档关系、采用/适用规则、委托适用性评估和最终选择快照分层管理；不得把文档发布日期直接当作委托生效日期,688179ec44d7abd570632e32affd122d139e23a2350a017eebaf09e1b0e10793,
PRD-MAIN,BUS-SCOPE-001,table-row,12.1 范围、产品与结构,693,系统必须为正式报价和执行建立版本化 TestScopeMatrix,934f5ba7c567fafa7bf251a73567c6421ef577938300b12118193d49695eee41,
PRD-MAIN,BUS-SCOPE-002,table-row,12.1 范围、产品与结构,694,每个范围行必须引用送检对象/特征、目标市场、要求条款、项目、方法版本、样品需求、EvaluationMode、工作中心和报告位置；只有 `EVALUATED` 模式才强制限值和判定规则,0aa4825ab53bf78f89f06c7ceebd4006b5c5b05f3d90418c44f970bcfcb81063,
PRD-MAIN,BUS-SCOPE-003,table-row,12.1 范围、产品与结构,695,系统必须阻止客户勾选、历史套餐、BOM 或 AI 候选未经技术批准直接生成生产任务,201e85031829f77a5738a30c4d23a868feb2ffb17e60622efd2b25cbc1e17da4,
PRD-MAIN,EX-001,table-row,4.2 明确排除,132,实验室人员执行的现场采样、采样路线、采样点和现场采样团队调度,6422675259c3b84f8ab4d72516eb9daebcdf64d61ead08945f54ff27576177a0,
PRD-MAIN,EX-002,table-row,4.2 明确排除,133,环境、空气、水体、表面或人员监测样品,a7a2e197bc81828ef2bf79a15ec8933b2d429c9591fe72e5a46f718da4b9780e,
PRD-MAIN,EX-003,table-row,4.2 明确排除,134,人体、临床、患者、受试者、生物样本或生物样本库,aa327146c73bd2c8caa8de5fea66762b46cebbd8e0d2e6ae17532029554ff022,
PRD-MAIN,EX-004,table-row,4.2 明确排除,135,企业内部研发、方法开发或探索性实验样品,0503591b00658e865d309cde4f99af93b3a9ac79fbd6fe20a01718c1aef79223,
PRD-MAIN,EX-005,table-row,4.2 明确排除,136,制造原料、辅料、中间品、在制品及内部生产放行样品,77c218c7b7ea9c7d3d515456efef2747a8b897a71e9dbff2d795e1a17103a006,
PRD-MAIN,EX-006,table-row,4.2 明确排除,137,稳定性研究方案、时间点拉样和稳定性箱研究管理,a258a3313719a2231681bec610c939cf125af4bea0be97ec119677d1fbcd471e,
PRD-MAIN,EX-007,table-row,4.2 明确排除,138,仪器底层控制和通用 ELN 平台；但 LIMS 范围内仍必须保存方法要求的关键执行事实、制备/分析批次、QC、原始数据或不可变引用,76c945ca4dfef190654b086a7199142d7907d95ffd7bca502a09effab4b4ea78,
PRD-MAIN,EX-008,table-row,4.2 明确排除,139,采购 BOM、采购申请、供应商寻源和库存采购预留,7eeb8cad4c7f89dca68bdd6b505feaaac6b67a05bea14b4334d2bb824b327377,
PRD-MAIN,EX-009,table-row,4.2 明确排除,140,总账、会计科目、会计分录、收入确认、资产负债表、利润表和法定财务结账,8db7e2584f7490bce06ef02dc7d0c5623877f596e066ea245916ba304b99b72e,
PRD-MAIN,EX-010,table-row,4.2 明确排除,141,银行核心处理、税务平台法定能力或 ERP 总账替代,f0101b695e16c65fd22fff8f2f7c5ee2f9042f2b047fc30e4394b3800d01f3dc,
PRD-MAIN,EX-011,table-row,4.2 明确排除,142,AI 自主合规放行、结果修改、异常批准、报告签发或资金操作,a8566d77f5b3c046ea58f70fae306c59648d2a1a460aa59c4d7e51fdc06afcb1,
