review_record_id,change_set_id,subject_ref,subject_hash,review_item_id,role_slot,reviewer_identity_ref,authority_scope,authority_evidence_ref,decision,conditions,blocking_objections,evidence_refs,reviewed_at,signature_or_approval_ref,record_status,notes
RR-PLT-006-ARCH,CHANGE-PLT-NEXT-VERSIONS-001,CHANGE-PLT-NEXT-VERSIONS-001,45864605ef17d55f7f3ccc55736e3bfb4750ff000d77dc42062526f4a472b211,RV-PLT-006,ARCHITECTURE_OWNER,,,,PENDING,,,ATC-PLT-000-NEXT-VERSION-CHANGESET.md,,,DRAFT,
RR-PLT-006-OPS,CHANGE-PLT-NEXT-VERSIONS-001,CHANGE-PLT-NEXT-VERSIONS-001,45864605ef17d55f7f3ccc55736e3bfb4750ff000d77dc42062526f4a472b211,RV-PLT-006,OPERATIONS_OWNER,,,,PENDING,,,ATC-PLT-000-NEXT-VERSION-CHANGESET.md,,,DRAFT,
RR-PLT-007-ENG,CHANGE-PLT-NEXT-VERSIONS-001,CHANGE-PLT-NEXT-VERSIONS-001,45864605ef17d55f7f3ccc55736e3bfb4750ff000d77dc42062526f4a472b211,RV-PLT-007,ENGINEERING_OWNER,,,,PENDING,,,ATC-PLT-000-NEXT-VERSION-CHANGESET.md,,,DRAFT,
RR-PLT-007-SEC,CHANGE-PLT-NEXT-VERSIONS-001,CHANGE-PLT-NEXT-VERSIONS-001,45864605ef17d55f7f3ccc55736e3bfb4750ff000d77dc42062526f4a472b211,RV-PLT-007,SECURITY_OWNER,,,,PENDING,,,ATC-PLT-000-NEXT-VERSION-CHANGESET.md,,,DRAFT,
RR-PLT-007-OPS,CHANGE-PLT-NEXT-VERSIONS-001,CHANGE-PLT-NEXT-VERSIONS-001,45864605ef17d55f7f3ccc55736e3bfb4750ff000d77dc42062526f4a472b211,RV-PLT-007,OPERATIONS_OWNER,,,,PENDING,,,ATC-PLT-000-NEXT-VERSION-CHANGESET.md,,,DRAFT,
RR-PLT-007-QA,CHANGE-PLT-NEXT-VERSIONS-001,CHANGE-PLT-NEXT-VERSIONS-001,45864605ef17d55f7f3ccc55736e3bfb4750ff000d77dc42062526f4a472b211,RV-PLT-007,QA_OWNER,,,,PENDING,,,ATC-PLT-000-NEXT-VERSION-CHANGESET.md,,,DRAFT,
RR-PLT-008-PRODUCT,CHANGE-PLT-NEXT-VERSIONS-001,CHANGE-PLT-NEXT-VERSIONS-001,45864605ef17d55f7f3ccc55736e3bfb4750ff000d77dc42062526f4a472b211,RV-PLT-008,PRODUCT_OWNER,,,,PENDING,,,ATC-PLT-000-NEXT-VERSION-CHANGESET.md,,,DRAFT,
RR-PLT-008-ARCH,CHANGE-PLT-NEXT-VERSIONS-001,CHANGE-PLT-NEXT-VERSIONS-001,45864605ef17d55f7f3ccc55736e3bfb4750ff000d77dc42062526f4a472b211,RV-PLT-008,ARCHITECTURE_OWNER,,,,PENDING,,,ATC-PLT-000-NEXT-VERSION-CHANGESET.md,,,DRAFT,
RR-PLT-008-ENG,CHANGE-PLT-NEXT-VERSIONS-001,CHANGE-PLT-NEXT-VERSIONS-001,45864605ef17d55f7f3ccc55736e3bfb4750ff000d77dc42062526f4a472b211,RV-PLT-008,ENGINEERING_OWNER,,,,PENDING,,,ATC-PLT-000-NEXT-VERSION-CHANGESET.md,,,DRAFT,
RR-PLT-008-SEC,CHANGE-PLT-NEXT-VERSIONS-001,CHANGE-PLT-NEXT-VERSIONS-001,45864605ef17d55f7f3ccc55736e3bfb4750ff000d77dc42062526f4a472b211,RV-PLT-008,SECURITY_OWNER,,,,PENDING,,,ATC-PLT-000-NEXT-VERSION-CHANGESET.md,,,DRAFT,
RR-PLT-008-OPS,CHANGE-PLT-NEXT-VERSIONS-001,CHANGE-PLT-NEXT-VERSIONS-001,45864605ef17d55f7f3ccc55736e3bfb4750ff000d77dc42062526f4a472b211,RV-PLT-008,OPERATIONS_OWNER,,,,PENDING,,,ATC-PLT-000-NEXT-VERSION-CHANGESET.md,,,DRAFT,
RR-PLT-008-QA,CHANGE-PLT-NEXT-VERSIONS-001,CHANGE-PLT-NEXT-VERSIONS-001,45864605ef17d55f7f3ccc55736e3bfb4750ff000d77dc42062526f4a472b211,RV-PLT-008,QA_OWNER,,,,PENDING,,,ATC-PLT-000-NEXT-VERSION-CHANGESET.md,,,DRAFT,
